DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY, VALUE(USD) , UNIT PRICE 
15/7/2022,1170456319,28491000,Chemicals,CALCIUM CARBIDE 30-80MM GAS YIELD: 298L/KG (LIC NO.01/2019/BI-3950/VALID:31.12.2024)AIFTA 0061558/SBY/2022 DT.05.07.2022 ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),INDONESIA,PT EMDEKI UTAMA TBK,,MTS,105.00," $ 115,520.45 "," $ 1,100.19 "
29/6/2022,1100191790,28491000,Chemicals,CALCIUM CARBIDE 25-50MM GAS YIELD: 295L/KG (LIC NO.CC/SC/KA/III/002/VALID:31.12.22) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,NGO CHEMICAL GROUP LTD,,MTS,112.50," $ 145,150.68 "," $ 1,290.23 "
29/6/2022,1050742496,28491000,Chemicals,CALCIUM CARBIDE 25-50MM GAS YIELD: 295L/KG (LIC NO.CC/SC/KA/III/002/VALID:31.12.22) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,ABBA TECHNOLOGY LIMITED,,MTS,112.50," $ 145,150.68 "," $ 1,290.23 "
20/6/2022,1135477227,28491000,Chemicals,CALCIUM CARBIDE 30-80MM GAS YIELD: 298L/KG (LIC NO.CC/SC/KA/III/002/VALID:31.12.22)AIFTA 0047144/SBY/2022 DT.24.05.2022 ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),INDONESIA,PT EMDEKI UTAMA TBK,,MTS,105.00," $ 115,520.44 "," $ 1,100.19 "
16/6/2022,1006454833,28491000,Chemicals,CALCIUM CARBIDE 25-50MM GAS YIELD: 295L/KGS (LIC NO.CC/SC/KA/III/002/VALID:31.12.22) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,ABBA TECHNOLOGY LIMITED,,MTS,112.50," $ 145,150.69 "," $ 1,290.23 "
16/6/2022,1199204074,28491000,Chemicals,CALCIUM CARBIDE 25-50MM GAS YIELD: 295L/KGS (LIC NO.CC/SC/KA/III/002/VALID:31.12.22) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,NGO CHEMICAL GROUP LTD,,MTS,112.50," $ 145,150.69 "," $ 1,290.23 "
11/6/2022,1049742380,28491000,Chemicals,CALCIUM CARBIDE 25-50MM GAS YIELD: 295L/KGS (LIC NO.CC/SC/KA/III/002/VALID:31.12.22) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,ABBA TECHNOLOGY LIMITED,,MTS,112.50," $ 145,150.69 "," $ 1,290.23 "
11/6/2022,1128341472,28491000,Chemicals,CALCIUM CARBIDE 25-50MM GAS YIELD: 295L/KGS (LIC NO.CC/SC/KA/III/002/VALID:31.12.22) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,ABBA TECHNOLOGY LIMITED,,MTS,112.50," $ 145,150.69 "," $ 1,290.23 "
3/6/2022,1074332097,28491000,Chemicals,CALCIUM CARBIDE - SIZE:30-80MM(90%) - GAS YIELD:298(+)(-)3%LITRE/KG SEALED WITH NITROGEN(DG CARGO) FOR INDUSTRIAL PRPS ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),INDONESIA,PT EMDEKI UTAMA TBK,,MTS,105.00," $ 119,196.09 "," $ 1,135.20 "
16/5/2022,1066551321,28491000,Chemicals,CALCIUM CARBIDE - SIZE:30-80MM(90%) - GAS YIELD:298(+)(-)3%LITRE/KG SEALED WITH NITROGEN(DG CARGO) FOR INDUSTRIAL PRPS ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),INDONESIA,PT EMDEKI UTAMA TBK,,MTS,63.00," $ 71,517.65 "," $ 1,135.20 "
